author,model,downloads,likes,lastModified,security
Hate-speech-CNERG,bert-base-uncased-hatexplain-rationale-two,1356,7,2022-06-24T09:45:07.000Z,None
Hate-speech-CNERG,bert-base-uncased-hatexplain,8887,14,2021-05-25T09:53:05.000Z,None
Hate-speech-CNERG,dehatebert-mono-english,634,6,2021-09-25T13:55:16.000Z,None
IMSyPP,hate_speech_en,6058,9,2022-05-16T06:13:38.000Z,None
Sakil,distilbert_lazylearner_hatespeech_detection,4,1,2023-02-23T20:51:45.000Z,None
s-nlp,roberta_first_toxicity_classifier,20,0,2021-10-08T18:18:19.000Z,None
s-nlp,roberta_toxicity_classifier,19042,28,2021-10-05T14:54:55.000Z,None
abhishek,autonlp-toxic-new-30516963,2,0,2021-11-08T19:31:37.000Z,None
akhooli,xlm-r-large-arabic-toxic,67,2,2020-12-11T21:32:20.000Z,None
am4nsolanki,autonlp-text-hateful-memes-36789092,8,2,2021-11-28T22:35:30.000Z,None
citizenlab,distilbert-base-multilingual-cased-toxicity,3266,9,2022-12-02T13:50:14.000Z,None
classla,roberta-base-frenk-hate,6,0,2023-06-23T06:39:04.000Z,None
elozano,tweet_offensive_eval,23,3,2022-02-07T17:59:03.000Z,None
martin-ha,toxic-comment-model,1257842,27,2022-05-06T02:24:31.000Z,None
mrm8488,distilroberta-finetuned-tweets-hate-speech,7,6,2021-05-20T18:25:15.000Z,None
seanbenhur,tanglish-offensive-language-identification,8,1,2023-02-08T16:45:58.000Z,None
HannahRoseKirk,Hatemoji,15,4,2022-04-27T18:17:04.000Z,None
crcb,hateval_re,2,1,2022-04-18T01:35:05.000Z,None
Hate-speech-CNERG,indic-abusive-allInOne-MuRIL,71,3,2022-05-03T08:49:47.000Z,None
Hate-speech-CNERG,english-abusive-MuRIL,218,4,2023-03-19T13:28:03.000Z,None
TehranNLP-org,electra-base-hateXplain,4,0,2022-05-03T17:00:31.000Z,None
TehranNLP-org,bert-large-hateXplain,3,0,2022-05-03T17:01:45.000Z,None
tomh,toxigen_hatebert,890,4,2022-05-02T12:42:51.000Z,None
nihaldsouza1,covid-hatespeech-detection,3,1,2022-11-03T08:25:17.000Z,None
facebook,roberta-hate-speech-dynabench-r1-target,48,1,2022-06-10T22:36:34.000Z,None
facebook,roberta-hate-speech-dynabench-r2-target,5,0,2022-06-10T22:36:17.000Z,None
facebook,roberta-hate-speech-dynabench-r3-target,6,0,2022-06-10T22:34:01.000Z,None
facebook,roberta-hate-speech-dynabench-r4-target,55543,27,2023-03-16T20:03:57.000Z,None
Andrazp,multilingual-hate-speech-robacofi,206,1,2023-02-17T14:52:29.000Z,None
michellejieli,NSFW_text_classifier,25266,31,2022-12-10T19:59:37.000Z,None
marianna13,xlm-roberta-fine-tuned-on-russian-abusive-language,4,0,2022-12-17T14:43:40.000Z,None
pykeio,lite-toxic-comment-classification,11886,0,2023-03-16T21:47:37.000Z,None
OrK7,parler_hate_speech,8,2,2023-02-09T17:10:08.000Z,None
DunnBC22,hateBERT-Hate_Offensive_or_Normal_Speech,59,1,2023-07-24T18:30:54.000Z,None
DunnBC22,fBERT-Hate_Offensive_or_Normal_Speech,5,1,2023-05-12T00:36:49.000Z,None
DunnBC22,bert-base-uncased-Hate_Offensive_or_Normal_Speech,5,1,2023-05-11T21:28:31.000Z,None
DunnBC22,distilbert-base-uncased-Hate_Offensive_or_Normal_Speech,4,1,2023-05-11T21:28:24.000Z,None
Karim-Gamal,MMiniLM-L12-finetuned-emojis-1-client-toxic-cen-2,4,0,2023-03-26T02:20:27.000Z,None
Karim-Gamal,MMiniLM-L12-finetuned-emojis-1-client-toxic-Krum-IID-Fed,2,0,2023-03-26T02:17:59.000Z,None
Karim-Gamal,MMiniLM-L12-finetuned-emojis-2-client-toxic-cen-2,2,0,2023-03-26T02:59:26.000Z,None
Karim-Gamal,MMiniLM-L12-finetuned-emojis-2-client-toxic-Krum-IID-Fed,3,0,2023-03-26T02:16:14.000Z,None
Karim-Gamal,MMiniLM-L12-finetuned-emojis-2-client-toxic-FedAvg-IID-Fed,3,0,2023-03-26T02:14:30.000Z,None
Karim-Gamal,MMiniLM-L12-finetuned-emojis-1-client-toxic-Krum-non-IID-Fed,4,0,2023-03-26T02:12:33.000Z,None
Karim-Gamal,MMiniLM-L12-finetuned-emojis-1-client-toxic-FedAvg-non-IID-Fed,2,0,2023-07-24T22:55:45.000Z,None
Karim-Gamal,MMiniLM-L12-finetuned-emojis-2-client-toxic-FedAvg-non-IID-Fed,4,0,2023-03-26T02:10:09.000Z,None
Karim-Gamal,MMiniLM-L12-finetuned-emojis-2-client-toxic-Krum-non-IID-Fed,3,0,2023-03-26T02:08:52.000Z,None
Karim-Gamal,XLM-Roberta-finetuned-emojis-1-client-toxic-cen-2,3,0,2023-03-26T02:57:25.000Z,None
Karim-Gamal,XLM-Roberta-finetuned-emojis-1-client-toxic-Krum-IID-Fed,2,0,2023-03-26T03:16:28.000Z,None
Karim-Gamal,XLM-Roberta-finetuned-emojis-1-client-toxic-FedAvg-IID-Fed,3,0,2023-03-26T03:18:37.000Z,None
Karim-Gamal,XLM-Roberta-finetuned-emojis-2-client-toxic-FedAvg-IID-Fed,4,0,2023-03-26T03:27:07.000Z,None
Karim-Gamal,XLM-Roberta-finetuned-emojis-2-client-toxic-cen-2,3,0,2023-03-26T03:17:22.000Z,None
Karim-Gamal,XLM-Roberta-finetuned-emojis-2-client-toxic-Krum-IID-Fed,2,0,2023-03-26T03:20:44.000Z,None
Karim-Gamal,XLM-Roberta-finetuned-emojis-1-client-toxic-FedAvg-non-IID-Fed,2,0,2023-08-26T14:19:47.000Z,None
Karim-Gamal,XLM-Roberta-finetuned-emojis-1-client-toxic-Krum-non-IID-Fed,2,0,2023-03-26T03:38:09.000Z,None
Karim-Gamal,XLM-Roberta-finetuned-emojis-2-client-toxic-FedAvg-non-IID-Fed,2,0,2023-03-26T03:28:13.000Z,None
Karim-Gamal,XLM-Roberta-finetuned-emojis-2-client-toxic-Krum-non-IID-Fed,2,0,2023-03-26T03:36:03.000Z,None
Karim-Gamal,BERT-base-finetuned-emojis-1-client-toxic-cen-2,3,0,2023-03-26T02:35:56.000Z,None
Karim-Gamal,BERT-base-finetuned-emojis-1-client-toxic-FedAvg-IID-Fed,3,0,2023-03-26T02:46:56.000Z,None
Karim-Gamal,BERT-base-finetuned-emojis-1-client-toxic-Krum-IID-Fed,2,0,2023-03-26T02:33:29.000Z,None
Karim-Gamal,BERT-base-finetuned-emojis-2-client-toxic-cen-2,3,0,2023-03-26T02:37:26.000Z,None
Karim-Gamal,BERT-base-finetuned-emojis-2-client-toxic-FedAvg-IID-Fed,4,0,2023-03-26T02:31:31.000Z,None
Karim-Gamal,BERT-base-finetuned-emojis-2-client-toxic-Krum-IID-Fed,3,0,2023-03-26T02:34:48.000Z,None
Karim-Gamal,BERT-base-finetuned-emojis-1-client-toxic-Krum-non-IID-Fed,2,0,2023-03-26T02:29:11.000Z,None
Karim-Gamal,BERT-base-finetuned-emojis-1-client-toxic-FedAvg-non-IID-Fed,3,0,2023-03-26T02:32:39.000Z,None
Karim-Gamal,BERT-base-finetuned-emojis-2-client-toxic-FedAvg-non-IID-Fed,5,0,2023-03-26T02:30:14.000Z,None
Karim-Gamal,BERT-base-finetuned-emojis-2-client-toxic-Krum-non-IID-Fed,5,0,2023-03-26T02:26:55.000Z,None
JungleLee,bert-toxic-comment-classification,83,4,2023-03-28T08:07:53.000Z,None
ZiruiXiong,bert-base-finetuned-toxic-comment-classification,10,3,2023-03-28T08:09:05.000Z,None
badmatr11x,distilroberta-base-offensive-hateful-speech-text-multiclassification,109,0,2023-03-22T06:24:41.000Z,None
cardiffnlp,twitter-roberta-base-hate-latest,12412,8,2023-08-02T00:30:47.000Z,None
vishwapatel123,Toxic-comment,8,0,2023-04-13T02:28:57.000Z,None
DunnBC22,bert-large-uncased-Hate_Offensive_or_Normal_Speech,6,1,2023-05-11T21:28:37.000Z,None
TheMrguiller,Deberta_context_toxicity,3,0,2023-05-15T13:05:20.000Z,None
dahongj,finetuned_toxictweets,5,0,2023-04-23T14:00:01.000Z,None
dk3156,toxic_tweets_model,3,0,2023-04-24T15:52:38.000Z,None
Kev07,Toxic-Tweets,12,0,2023-04-24T19:39:10.000Z,None
DunnBC22,bert-base-uncased-Abusive_Or_Threatening_Speech,8,1,2023-05-19T23:57:39.000Z,None
ctoraman,hate-speech-berturk,8,0,2023-06-02T09:18:41.000Z,None
ctoraman,hate-speech-bert,532,1,2023-09-27T20:49:57.000Z,None
l3cube-pune,me-hate-roberta,2,0,2023-07-22T09:33:21.000Z,None
Kanit,bert-hateXplain,5,0,2023-10-08T18:34:21.000Z,None
nicholasKluge,ToxicityModel,79606,5,2023-10-08T21:01:49.000Z,None
christinacdl,DeBERTa_Offensive_English_Twitter,2,0,2023-06-08T23:02:03.000Z,None
cardiffnlp,twitter-roberta-base-hate-multiclass-latest,40,0,2023-07-06T10:37:08.000Z,None
Zlatislav,NSFW-Prompt-Detector,374,3,2023-06-23T11:03:29.000Z,None
tum-nlp,bert-hateXplain,103,0,2023-10-08T20:50:07.000Z,None
wesleyacheng,hate-speech-multilabel-classification-with-bert,140,0,2023-06-23T13:56:28.000Z,None
christinacdl,OLID_OFFENSIVE_BERT_MULTILINGUAL,2,0,2023-06-27T12:30:22.000Z,None
FredZhang7,one-for-all-toxicity-v3,76,0,2023-08-23T19:36:46.000Z,None
l3cube-pune,me-hate-bert,15,0,2023-08-26T08:15:59.000Z,None
henrystoll,hatespeech-refugees,13,0,2023-08-04T15:35:23.000Z,None
KoalaAI,OffensiveSpeechDetector,28,1,2023-08-21T16:09:01.000Z,None
KoalaAI,HateSpeechDetector,21,0,2023-08-21T16:11:54.000Z,None
Jayveersinh-Raj,Gujarati_hatespeech_extension,94,1,2023-08-25T11:44:59.000Z,None
okaris,autotrain-hate-speech-3k-89642143970,6,0,2023-09-17T06:23:59.000Z,None
tensor-trek,distilbert-toxicity-classifier,213,0,2023-09-18T20:53:28.000Z,None
qiuhuachuan,NSFW-detector,77,1,2023-09-27T02:42:03.000Z,None
